序,时间,区,目的港,国家,中文,代,船,20G,E1,40G,E2,40H,E3,AE,20'GP(标准报价),40'GP(标准报价),40'HQ(标准报价),EBS,AE1,船期,港,中转港,中转,航程,起,止,内部备注,限重,快捷报价,,,
189,81413,西,CONAKRY,GUINEA,"科纳克里,几内亚",M,CMA,2238,55,3963,110,3963,110,,2288,4063,4063,55/110,,周日,洋山,ESALG,阿尔赫西拉斯,42,8-13,8-19,FAL1 8天免用箱,,Conakry CMA USD2238/3963 + EBS55/110，周日洋山阿尔赫西拉斯转42天，价格到8月19日已过期，紧供参考。,,,
190,81413,西,CONAKRY,GUINEA,"科纳克里,几内亚",B,MSC,2275,50,4200,100,4200,100,,2300,4250,4250,50/100,,周五,外港,VLC,瓦伦西亚,50-60,8-06,8-15,"Subject to CUS:90 Cntr,DTHC:USD160/210(Can be CC)",,Conakry MSC USD2275/4200 + EBS50/100，周五外港瓦伦西亚转50-60天，价格到8月15日已过期，紧供参考。,,,
191,81413,西,CONAKRY,GUINEA,"科纳克里,几内亚",E,COSCO,2360,60,4410,120,4410,120,,2350,4610,4610,60/120,,周三,外港,LOME,洛美,42,8-10,8-19,WAX3,,Conakry COSCO USD2360/4410 + EBS60/120，周三外港洛美转42天，价格到8月19日已过期，紧供参考。,,,
192,81413,西,CONAKRY,GUINEA,"科纳克里,几内亚",A,MSK,2460,,4320,,4320,,,2460,4320,4320,,,周一,洋山,PORT SAIDE EAST,赛德东,40,8-13,8-19,含目的港CER 100/100,,Conakry MSK USD2460/4320（含EBS），周一洋山赛德东转40天，价格到8月19日已过期，紧供参考。,,,
193,81413,西,CONAKRY,GUINEA,"科纳克里,几内亚",D,SAF,2350,60,4100,120,4100,120,,2350,4100,4100,60/120,,周一/五,洋山,PORT SAIDE EAST/ALGECIRAS,赛德东/阿尔赫西拉斯,43,8-13,8-19,AE7/AE6,,Conakry SAF USD2350/4100 + EBS60/120，周一/五洋山赛德东/阿尔赫西拉斯转43天，价格到8月19日已过期，紧供参考。,,,
194,81413,西,CONAKRY,GUINEA,"科纳克里,几内亚",K,PIL,2110,,3410,,3410,,,2210,3610,3610,,,周三,外港,LOME,洛美,45,8-13,8-15,,,Conakry PIL USD2110/3410（含EBS），周三外港洛美转45天，价格到8月15日已过期，紧供参考。,,,
195,81413,西,MALABO,GUINEA,"马拉博,赤道几内亚",M,CMA,2388,55,3663,110,3663,110,,2438,3763,3763,55/110,,周日,洋山,ESALG,阿尔赫西拉斯,46,8-13,8-19,FAL1 10天免用箱,,Malabo CMA USD2388/3663 + EBS55/110，周日洋山阿尔赫西拉斯转46天，价格到8月19日已过期，紧供参考。,,,
196,81413,西,MALABO,GUINEA,"马拉博,赤道几内亚",D,SAF,2300,60,3500,120,3500,120,,2300,3500,3500,60/120,,周二/五,洋山,pointe noire,黑角,46,8-13,8-19,FW6/AE6,,Malabo SAF USD2300/3500 + EBS60/120，周二/五洋山黑角转46天，价格到8月19日已过期，紧供参考。,,,
197,81413,西,MALABO,GUINEA,"马拉博,赤道几内亚",L,NDS,2460,,4060,,4060,,,2460,4060,4060,,,周一,洋山,PNR,黑角,56,8-06,8-19,,,Malabo NDS USD2460/4060（含EBS），周一洋山黑角转56天，价格到8月19日已过期，紧供参考。,,,
198,81413,西,MALABO,GUINEA,"马拉博,赤道几内亚",A,MSK,2360,,3620,,3620,,,2360,3620,3620,,,周二,洋山,pointe noire,黑角,46,8-13,8-19,FEW6,,Malabo MSK USD2360/3620（含EBS），周二洋山黑角转46天，价格到8月19日已过期，紧供参考。,,,
199,81413,西,LIBREVILLE,GABON,"利伯维尔,加蓬",M,CMA,1888,55,3113,110,3113,110,,1938,3213,3213,55/110,,周五,外四,CMKBI,开瑞比,52,8-13,8-19,AFEX 11天免用箱,,Libreville CMA USD1888/3113 + EBS55/110，周五外四开瑞比转52天，价格到8月19日已过期，紧供参考。,,,
200,81413,西,LIBREVILLE,GABON,"利伯维尔,加蓬",A,MSK,1960,,3220,,3220,,,1960,3220,3220,,,周二,洋山,pointe noire,黑角,45,8-13,8-19,FEW6,,Libreville MSK USD1960/3220（含EBS），周二洋山黑角转45天，价格到8月19日已过期，紧供参考。,,,
201,81413,西,LIBREVILLE,GABON,"利伯维尔,加蓬",D,SAF,1900,60,3100,120,3100,120,,1900,3100,3100,60/120,,周二,洋山,pointe noire,黑角,45,8-13,8-19,FW6/AE5/AE2,,Libreville SAF USD1900/3100 + EBS60/120，周二洋山黑角转45天，价格到8月19日已过期，紧供参考。,,,
202,81413,西,LIBREVILLE,GABON,"利伯维尔,加蓬",B,MSC,2200,50,3800,100,3800,100,,2225,3850,3850,50/100,,周五,外港,TGLFW,洛美,50,8-06,8-15,,,Libreville MSC USD2200/3800 + EBS50/100，周五外港洛美转50天，价格到8月15日已过期，紧供参考。,,,
203,81413,西,LIBREVILLE,GABON,"利伯维尔,加蓬",K,PIL,1770,,2820,,2820,,,1870,3020,3020,,,周一,洋山,PNR,黑角,62,8-13,8-15,,,Libreville PIL USD1770/2820（含EBS），周一洋山黑角转62天，价格到8月15日已过期，紧供参考。,,,
204,81413,西,LIBREVILLE,GABON,"利伯维尔,加蓬",L,NDS,2060,,3460,,3460,,,2060,3460,3460,,,周一,洋山,PNR,黑角,58,8-06,8-19,,,Libreville NDS USD2060/3460（含EBS），周一洋山黑角转58天，价格到8月19日已过期，紧供参考。,,,
205,81413,西,PORT GENTIL,GABON,"谦蒂尔港,加蓬",M,CMA,2138,55,3463,110,3463,110,,2188,3563,3563,55/110,,周四,外五,LOME,洛美,45,8-13,8-19,WAX 11天免用箱,,Port Gentil CMA USD2138/3463 + EBS55/110，周四外五洛美转45天，价格到8月19日已过期，紧供参考。,,,
206,81413,西,MATADI,"CONGO, DRC","马塔迪,刚果(金)",L,NDS,2810,,4860,,4860,,,3160,4860,4860,,,周一,洋山,PNR,黑角,56,8-06,8-19,,,Matadi NDS USD2810/4860（含EBS），周一洋山黑角转56天，价格到8月19日已过期，紧供参考。,,,
207,81413,西,MATADI,"CONGO, DRC","马塔迪,刚果(金)",K,PIL,2170,,4020,,4020,,,2270,4220,4220,,,周一,洋山,PNR,黑角,56,8-13,8-15,,,Matadi PIL USD2170/4020（含EBS），周一洋山黑角转56天，价格到8月15日已过期，紧供参考。,,,
208,81413,西,MATADI,"CONGO, DRC","马塔迪,刚果(金)",A,MSK,2810,,4720,,4720,,,2810,4720,4720,,,周二,洋山,CGPNR,黑角,43,8-13,8-19,FEW6 含目的港PAI 100/100/100,,Matadi MSK USD2810/4720（含EBS），周二洋山黑角转43天，价格到8月19日已过期，紧供参考。,,,
209,81413,西,MATADI,"CONGO, DRC","马塔迪,刚果(金)",D,SAF,2750,60,4600,120,4600,120,,2750,4600,4600,60/120,,周二,洋山,CGPNR,黑角,39,8-13,8-19,FW6,,Matadi SAF USD2750/4600 + EBS60/120，周二洋山黑角转39天，价格到8月19日已过期，紧供参考。,,,
210,81413,西,MATADI,"CONGO, DRC","马塔迪,刚果(金)",M,CMA,2638,55,4513,110,4513,110,,2688,4613,4613,55/110,,周二,洋山,CMKBI,开瑞比,48,8-13,8-19,ASAF 32天免用箱,,Matadi CMA USD2638/4513 + EBS55/110，周二洋山开瑞比转48天，价格到8月19日已过期，紧供参考。,,,
211,81413,西,LUANDA,ANGOLA,"卢安达,安哥拉",E,COSCO,1810,60,2710,120,2710,120,,1835,2760,2760,60/120,,周二,洋山,DIR,直达,41,8-10,8-19,WAX4,,Luanda COSCO USD1810/2710 + EBS60/120，周二洋山直达41天，价格到8月19日已过期，紧供参考。,,,
212,81413,西,LUANDA,ANGOLA,"卢安达,安哥拉",A,MSK,1860,,3220,,3220,,,1860,3220,3220,,,周二/四,洋山/外港,DIR,直达,41/47,8-13,8-19,FEW6/FEW2,,Luanda MSK USD1860/3220（含EBS），周二/四洋山/外港直达41/47天，价格到8月19日已过期，紧供参考。,,,
213,81413,西,LUANDA,ANGOLA,"卢安达,安哥拉",D,SAF,1800,60,3100,120,3100,120,,1800,3100,3100,60/120,,周二,洋山,DIR,直达,41,8-13,8-19,FW6,,Luanda SAF USD1800/3100 + EBS60/120，周二洋山直达41天，价格到8月19日已过期，紧供参考。,,,
214,81413,西,LUANDA,ANGOLA,"卢安达,安哥拉",K,PIL,1760,,2810,,2810,,,1860,3010,3010,,,周一,洋山,DIR,直达,41,8-13,8-15,,,Luanda PIL USD1760/2810（含EBS），周一洋山直达41天，价格到8月15日已过期，紧供参考。,,,
215,81413,西,LUANDA,ANGOLA,"卢安达,安哥拉",L,NDS,2060,,3460,,3460,,,2060,3460,3460,,,周一,洋山,DIR,直达,41,8-06,8-19,,,Luanda NDS USD2060/3460（含EBS），周一洋山直达41天，价格到8月19日已过期，紧供参考。,,,
216,81413,西,LUANDA,ANGOLA,"卢安达,安哥拉",M,CMA,1838,55,3113,110,3113,110,,1888,3213,3213,55/110,,周二,洋山,DIR,直达,41,8-13,8-19,ASAF 15天免用箱,,Luanda CMA USD1838/3113 + EBS55/110，周二洋山直达41天，价格到8月19日已过期，紧供参考。,,,
217,81413,西,LUANDA,ANGOLA,"卢安达,安哥拉",B,MSC,2150,50,3600,100,3600,100,,2175,3650,3650,50/100,,周五,外港,PTSIE,西尼什,46,8-06,8-15,,,Luanda MSC USD2150/3600 + EBS50/100，周五外港西尼什转46天，价格到8月15日已过期，紧供参考。,,,
218,81413,西,LOBITO,ANGOLA,"洛比托,安哥拉",L,NDS,2210,,3760,,3760,,,2210,3760,3760,,,周一,洋山,PNR,黑角,48,8-06,8-19,,,Lobito NDS USD2210/3760（含EBS），周一洋山黑角转48天，价格到8月19日已过期，紧供参考。,,,
219,81413,西,LOBITO,ANGOLA,"洛比托,安哥拉",M,CMA,2038,55,3413,110,3413,110,,2088,3513,3513,55/110,,周二,洋山,CGPNR,黑角,42,8-13,8-19,ASAF 15天免用箱,,Lobito CMA USD2038/3413 + EBS55/110，周二洋山黑角转42天，价格到8月19日已过期，紧供参考。,,,
220,81413,西,LOBITO,ANGOLA,"洛比托,安哥拉",B,MSC,2250,50,3800,100,3800,100,,2275,3850,3850,50/100,,周五,外港,ZACPT,开普敦,43,8-06,8-15,,,Lobito MSC USD2250/3800 + EBS50/100，周五外港开普敦转43天，价格到8月15日已过期，紧供参考。,,,
221,81413,西,LOBITO,ANGOLA,"洛比托,安哥拉",A,MSK,2010,,3520,,3520,,,2010,3520,3520,,,周四,洋山,Walvis Bay,鲸湾,36,8-13,8-19,,,Lobito MSK USD2010/3520（含EBS），周四洋山鲸湾转36天，价格到8月19日已过期，紧供参考。,,,
222,81413,西,LOBITO,ANGOLA,"洛比托,安哥拉",D,SAF,1950,60,3400,120,3400,120,,1950,3400,3400,60/120,,周四,洋山,Walvis Bay,鲸湾,36,8-13,8-19,FW2,,Lobito SAF USD1950/3400 + EBS60/120，周四洋山鲸湾转36天，价格到8月19日已过期，紧供参考。,,,
223,81413,西,LOBITO,ANGOLA,"洛比托,安哥拉",K,PIL,2910,,4910,,4910,,,3010,5110,5110,,,周一,洋山,PNR,黑角,48,8-13,8-15,,,Lobito PIL USD2910/4910（含EBS），周一洋山黑角转48天，价格到8月15日已过期，紧供参考。,,,
224,81413,西,NAMIBE,ANGOLA,"纳美比,安哥拉",L,NDS,2210,,3760,,3760,,,2210,3760,3760,,,周一,洋山,PNR,黑角,51,8-06,8-19,,,Namibe NDS USD2210/3760（含EBS），周一洋山黑角转51天，价格到8月19日已过期，紧供参考。,,,
225,81413,西,NAMIBE,ANGOLA,"纳美比,安哥拉",A,MSK,2010,,3520,,3520,,,2010,3520,3520,,,周四,洋山,Singapore,鲸湾,47,8-13,8-19,,,Namibe MSK USD2010/3520（含EBS），周四洋山鲸湾转47天，价格到8月19日已过期，紧供参考。,,,
226,81413,西,NAMIBE,ANGOLA,"纳美比,安哥拉",D,SAF,1950,60,3400,120,3400,120,,1950,3400,3400,60/120,,周四,洋山,Walvis Bay,鲸湾,47,8-13,8-19,FW2,,Namibe SAF USD1950/3400 + EBS60/120，周四洋山鲸湾转47天，价格到8月19日已过期，紧供参考。,,,
227,81413,西,NAMIBE,ANGOLA,"纳美比,安哥拉",M,CMA,2038,55,3413,110,3413,110,,2088,3513,3513,55/110,,周二,洋山,CGPNR,黑角,48,8-13,8-19,ASAF 15天免用箱,,Namibe CMA USD2038/3413 + EBS55/110，周二洋山黑角转48天，价格到8月19日已过期，紧供参考。,,,
228,81413,西,NAMIBE,ANGOLA,"纳美比,安哥拉",B,MSC,2250,50,3800,100,3800,100,,2275,3850,3850,50/100,,周五,外港,ZACPT,开普敦,47,8-06,8-15,货重超过20T 加收USD100/TUE,,Namibe MSC USD2250/3800 + EBS50/100，周五外港开普敦转47天，价格到8月15日已过期，紧供参考。,,,
229,81413,西,CABINDA,ANGOLA,"卡宾达,安哥拉",L,NDS,3360,,5960,,5960,,,3360,5960,5960,,,周一,洋山,PNR,黑角,53,8-06,8-19,,,Cabinda NDS USD3360/5960（含EBS），周一洋山黑角转53天，价格到8月19日已过期，紧供参考。,,,
230,81413,西,CABINDA,ANGOLA,"卡宾达,安哥拉",A,MSK,3060,,5220,,5220,,,3060,5220,5220,,,周二,洋山,Pointe Noire,黑角,45-52,8-13,8-19,,,Cabinda MSK USD3060/5220（含EBS），周二洋山黑角转45-52天，价格到8月19日已过期，紧供参考。,,,
231,81413,西,CABINDA,ANGOLA,"卡宾达,安哥拉",D,SAF,3000,60,5100,120,5100,120,,3000,5100,5100,60/120,,周二,洋山,Pointe Noire,黑角,45-52,8-13,8-19,FW1/FW2/AE5,,Cabinda SAF USD3000/5100 + EBS60/120，周二洋山黑角转45-52天，价格到8月19日已过期，紧供参考。,,,
232,81413,西,CABINDA,ANGOLA,"卡宾达,安哥拉",M,CMA,3338,55,6063,110,6063,110,,3388,6163,6163,55/110,,周二,洋山,CGPNR,黑角,68,8-13,8-19,ASAF 15天免用箱,,Cabinda CMA USD3338/6063 + EBS55/110，周二洋山黑角转68天，价格到8月19日已过期，紧供参考。,,,
233,81413,西,SOYO,ANGOLA,"索约,安哥拉",L,NDS,4160,,7260,,7260,,,4160,7260,7260,,,周一,洋山,PNR,黑角,56,8-06,8-19,,,Soyo NDS USD4160/7260（含EBS），周一洋山黑角转56天，价格到8月19日已过期，紧供参考。,,,
234,81413,西,BATA,EQUATORIAL GUINEA,"巴塔,赤道几内亚",M,CMA,2388,55,3663,110,3663,110,,2438,3763,3763,55/110,,周日,洋山,TGLFW,洛美,43,8-13,8-19,FAL1 610天免用箱,,Bata CMA USD2388/3663 + EBS55/110，周日洋山洛美转43天，价格到8月19日已过期，紧供参考。,,,
235,81413,西,BATA,EQUATORIAL GUINEA,"巴塔,赤道几内亚",K,PIL,3360,,5610,,5610,,,3460,5810,5810,,,周一,洋山,LOME,洛美,60,8-13,8-15,,,Bata PIL USD3360/5610（含EBS），周一洋山洛美转60天，价格到8月15日已过期，紧供参考。,,,
236,81413,西,BATA,EQUATORIAL GUINEA,"巴塔,赤道几内亚",L,NDS,2460,,4060,,4060,,,2460,4060,4060,,,周一,洋山,PNR,黑角,55,8-06,8-19,,,Bata NDS USD2460/4060（含EBS），周一洋山黑角转55天，价格到8月19日已过期，紧供参考。,,,
237,81413,西,BATA,EQUATORIAL GUINEA,"巴塔,赤道几内亚",A,MSK,2360,,3620,,3620,,,2360,3620,3620,,,周二,洋山,Pointe Noire,黑角,42-49,8-13,8-19,,,Bata MSK USD2360/3620（含EBS），周二洋山黑角转42-49天，价格到8月19日已过期，紧供参考。,,,
238,81413,西,BATA,EQUATORIAL GUINEA,"巴塔,赤道几内亚",D,SAF,2300,60,3500,120,3500,120,,2300,3500,3500,60/120,,周二/五,洋山,Pointe Noire/ALGECIRAS,黑角,42-49,8-13,8-19,FW6/AE6,,Bata SAF USD2300/3500 + EBS60/120，周二/五洋山黑角转42-49天，价格到8月19日已过期，紧供参考。,,,
239,81413,西,COTONOU,BENIN,"科托努,贝宁",E,COSCO,1660,60,2710,120,2710,120,,1685,2760,2760,60/120,,周三,外港,DIR,直达,38,8-10,8-19,WAX3,20'GP≧18T以上单票确认,Cotonou COSCO USD1660/2710 + EBS60/120，周三外港直达38天，价格到8月19日已过期，紧供参考。,,,
240,81413,西,COTONOU,BENIN,"科托努,贝宁",G,ZIM,1685,75,2760,150,2760,150,,1710,2810,2810,75/150,,周三,外港,DIR,直达,47,8-11,8-15,,,Cotonou ZIM USD1685/2760 + EBS75/150，周三外港直达47天，价格到8月15日已过期，紧供参考。,,,
241,81413,西,COTONOU,BENIN,"科托努,贝宁",M,CMA,1788,55,2963,110,2963,110,,1838,3063,3063,55/110,,周五,外四,DIR,直达,46,8-13,8-19,AFEX 11天免用箱,,Cotonou CMA USD1788/2963 + EBS55/110，周五外四直达46天，价格到8月19日已过期，紧供参考。,,,
242,81413,西,COTONOU,BENIN,"科托努,贝宁",H,ONE,1690,,2765,,2765,,,1715,2815,2815,,,周三,外港,DIR,直达,47,8-20,8-26,,,Cotonou ONE USD1690/2765（含EBS），周三外港直达47天，价格到8月26日。,,,
243,81413,西,COTONOU,BENIN,"科托努,贝宁",B,MSC,1850,50,3100,100,3100,100,,1875,3150,3150,50/100,,周五,外港,TGLFW,洛美,43,8-13,8-19,Subject to DTHC EUR 100/145 for 20/40(can be cc),,Cotonou MSC USD1850/3100 + EBS50/100，周五外港洛美转43天，价格到8月19日已过期，紧供参考。,,,
244,81413,西,COTONOU,BENIN,"科托努,贝宁",A,MSK,2010,,3320,,3320,,,2010,3320,3320,,,周五/四,外港,DIR,直达,46/35,8-13,8-19,FEW3/FEW1,,Cotonou MSK USD2010/3320（含EBS），周五/四外港直达46/35天，价格到8月19日已过期，紧供参考。,,,
245,81413,西,COTONOU,BENIN,"科托努,贝宁",D,SAF,1850,60,3000,120,3000,120,,1850,3000,3000,60/120,,周五,外港,DIR,直达,46,8-13,8-19,FW3,,Cotonou SAF USD1850/3000 + EBS60/120，周五外港直达46天，价格到8月19日已过期，紧供参考。,,,
246,81413,西,COTONOU,BENIN,"科托努,贝宁",N,HPL,1750,55,2700,110,2700,110,,1775,2750,2750,55/110,,周六,洋山,PORT TANGIER,丹吉尔,41,8-15,8-31,"航线代码：MD1,免用箱14天",,Cotonou HPL USD1750/2700 + EBS55/110，周六洋山丹吉尔转41天，价格到8月31日。,,,
247,81413,西,COTONOU,BENIN,"科托努,贝宁",K,PIL,1835,,2910,,2910,,,1935,3110,3110,,,周三,外港,DIR,直达,38,8-13,8-15,,,Cotonou PIL USD1835/2910（含EBS），周三外港直达38天，价格到8月15日已过期，紧供参考。,,,
248,81413,西,BANJUL,GAMBIA,"班珠尔,冈比亚",B,MSC,2100,50,4000,100,4000,100,,2125,4050,4050,50/100,,周五,外港,VLC,瓦伦西亚,50/46,8-06,8-15,DTHC USD 105/20DV; USD 150/40DV(CC) ;CGS USD 250/TEU,,Banjul MSC USD2100/4000 + EBS50/100，周五外港瓦伦西亚转50/46天，价格到8月15日已过期，紧供参考。,,,
249,81413,西,BANJUL,GAMBIA,"班珠尔,冈比亚",M,CMA,2338,55,4113,110,4113,110,,2388,4213,4213,55/110,,周日,洋山,ESALG,阿尔赫西拉斯,39,8-13,8-19,FAL1 5天免用箱,,Banjul CMA USD2338/4113 + EBS55/110，周日洋山阿尔赫西拉斯转39天，价格到8月19日已过期，紧供参考。,,,
250,81413,西,BANJUL,GAMBIA,"班珠尔,冈比亚",A,MSK,2460,,4370,,4370,,,2460,4370,4370,,,周五,洋山,ALGECIRAS,阿尔赫西拉斯,42,8-13,8-19,,,Banjul MSK USD2460/4370（含EBS），周五洋山阿尔赫西拉斯转42天，价格到8月19日已过期，紧供参考。,,,
251,81413,西,BANJUL,GAMBIA,"班珠尔,冈比亚",D,SAF,2400,60,4250,120,4250,120,,2400,4250,4250,60/120,,周五,洋山,ALGECIRAS,阿尔赫西拉斯,42,8-13,8-19,AE6,,Banjul SAF USD2400/4250 + EBS60/120，周五洋山阿尔赫西拉斯转42天，价格到8月19日已过期，紧供参考。,,,
252,81413,西,MONROVIA,LIBERIA,"蒙罗维亚,利比里亚",B,MSC,2100,50,4000,100,4000,100,,2125,4050,4050,50/100,,周五,外港,TGLFW,洛美,52,8-06,8-15,,,Monrovia MSC USD2100/4000 + EBS50/100，周五外港洛美转52天，价格到8月15日已过期，紧供参考。,,,
253,81413,西,MONROVIA,LIBERIA,"蒙罗维亚,利比里亚",A,MSK,1860,,3220,,3220,,,1860,3220,3220,,,周三,洋山,PTG,丹吉尔,45,8-13,8-19,,,Monrovia MSK USD1860/3220（含EBS），周三洋山丹吉尔转45天，价格到8月19日已过期，紧供参考。,,,
254,81413,西,MONROVIA,LIBERIA,"蒙罗维亚,利比里亚",D,SAF,1800,60,3100,120,3100,120,,1800,3100,3100,60/120,,周一/五,洋山,PORT SAIDE EAST/ALGECIRAS,赛德东/阿尔赫西拉斯,45,8-13,8-19,AE7/AE6,,Monrovia SAF USD1800/3100 + EBS60/120，周一/五洋山赛德东/阿尔赫西拉斯转45天，价格到8月19日已过期，紧供参考。,,,
255,81413,西,MONROVIA,LIBERIA,"蒙罗维亚,利比里亚",E,COSCO,2260,60,4210,120,4210,120,,2260,4210,4210,60/120,,周三,外港,LOME,洛美,45,8-10,8-19,WAX3,,Monrovia COSCO USD2260/4210 + EBS60/120，周三外港洛美转45天，价格到8月19日已过期，紧供参考。,,,
256,81413,西,MONROVIA,LIBERIA,"蒙罗维亚,利比里亚",K,PIL,2110,,3410,,3410,,,2210,3610,3610,,,周三,外港,LOME,洛美,49,8-13,8-15,,,Monrovia PIL USD2110/3410（含EBS），周三外港洛美转49天，价格到8月15日已过期，紧供参考。,,,
257,81413,西,MONROVIA,LIBERIA,"蒙罗维亚,利比里亚",M,CMA,1888,55,3263,110,3263,110,,1938,3363,3363,55/110,,周日,洋山,ESALG,阿尔赫西拉斯,45,8-13,8-19,FAL1 10天免用箱,,Monrovia CMA USD1888/3263 + EBS55/110，周日洋山阿尔赫西拉斯转45天，价格到8月19日已过期，紧供参考。,,,
258,81413,西,BISSAU,GUINEE BISSAU,"比绍,几内亚比绍",A,MSK,2810,,5120,,5120,,,2810,5120,5120,,,周五,洋山,ALGECIRAS,阿尔赫西拉斯,54-62,8-13,8-19,,,Bissau MSK USD2810/5120（含EBS），周五洋山阿尔赫西拉斯转54-62天，价格到8月19日已过期，紧供参考。,,,
259,81413,西,BISSAU,GUINEE BISSAU,"比绍,几内亚比绍",D,SAF,2750,60,5000,120,5000,120,,2750,5000,5000,60/120,,周五,洋山,ALGECIRAS,阿尔赫西拉斯,55-62,8-13,8-19,AE6,,Bissau SAF USD2750/5000 + EBS60/120，周五洋山阿尔赫西拉斯转55-62天，价格到8月19日已过期，紧供参考。,,,
260,81413,西,BISSAU,GUINEE BISSAU,"比绍,几内亚比绍",B,MSC,2500,50,4800,100,4800,100,,2525,4850,4850,50/100,,周五,外港,VLC,瓦伦西亚,72/68,8-06,8-15,subject to DTHC EUR399/412 & PTA USD40/CNTR with same OF term,,Bissau MSC USD2500/4800 + EBS50/100，周五外港瓦伦西亚转72/68天，价格到8月15日已过期，紧供参考。,,,
261,81413,西,BISSAU,GUINEE BISSAU,"比绍,几内亚比绍",O,BLINE,2750,50,4800,100,4800,100,,2750,4800,4800,50/100,,周二/周四,外港,Lexious,雷克纽斯,45,8-20,8-26,"需截ENS(USD25),箱东单",,Bissau BLINE USD2750/4800 + EBS50/100，周二/周四外港雷克纽斯转45天，价格到8月26日。,,,
262,81413,西,DOUALA,CAMEROON,"杜阿拉,喀麦隆",A,MSK,2260,,3620,,3620,,,2260,3620,3620,,,周二,洋山,pointer noire,黑角,45,8-13,8-19,FEW6 CGS: usd200/400 from 26-Feb,,Douala MSK USD2260/3620（含EBS），周二洋山黑角转45天，价格到8月19日已过期，紧供参考。,,,
263,81413,西,DOUALA,CAMEROON,"杜阿拉,喀麦隆",E,COSCO,2060,60,3110,120,3110,120,,2085,3160,3160,60/120,,周三,外港,LOME,洛美,42,8-10,8-19,WAX3,,Douala COSCO USD2060/3110 + EBS60/120，周三外港洛美转42天，价格到8月19日已过期，紧供参考。,,,
264,81413,西,DOUALA,CAMEROON,"杜阿拉,喀麦隆",D,SAF,2200,60,3500,120,3500,120,,2200,3500,3500,60/120,,周二/五,洋山,pointer noire/ALGECIRAS,黑角/阿尔赫西拉斯,45,8-13,8-19,FW6/AE6,,Douala SAF USD2200/3500 + EBS60/120，周二/五洋山黑角/阿尔赫西拉斯转45天，价格到8月19日已过期，紧供参考。,,,
265,81413,西,DOUALA,CAMEROON,"杜阿拉,喀麦隆",L,NDS,2260,,3560,,3560,,,2260,3560,3560,,,周一,洋山,PNR,黑角,56,8-06,8-19,,,Douala NDS USD2260/3560（含EBS），周一洋山黑角转56天，价格到8月19日已过期，紧供参考。,,,
266,81413,西,DOUALA,CAMEROON,"杜阿拉,喀麦隆",K,PIL,2000,,3310,,3310,,,2100,3510,3510,,,周二,外港,LOME,洛美,46,8-13,8-15,,,Douala PIL USD2000/3310（含EBS），周二外港洛美转46天，价格到8月15日已过期，紧供参考。,,,
267,81413,西,DOUALA,CAMEROON,"杜阿拉,喀麦隆",B,MSC,2300,50,3800,100,3800,100,,2325,3850,3850,50/100,,周五,外港,TGLFW,洛美,44,8-06,8-15,CGS: usd200/400 from 26-Feb,,Douala MSC USD2300/3800 + EBS50/100，周五外港洛美转44天，价格到8月15日已过期，紧供参考。,,,
268,81413,西,DOUALA,CAMEROON,"杜阿拉,喀麦隆",M,CMA,2038,55,3163,110,3163,110,,2088,3263,3263,55/110,,周二,洋山,CGPNR,黑角,48,8-13,8-19,ASAF 11天免用箱,,Douala CMA USD2038/3163 + EBS55/110，周二洋山黑角转48天，价格到8月19日已过期，紧供参考。,,,
269,81413,西,KRIBI,CAMEROON,"开瑞比,喀麦隆",L,NDS,2260,,3560,,3560,,,2260,3560,3560,,,周一,洋山,CGPNR,黑角,55,8-06,8-19,,,Kribi NDS USD2260/3560（含EBS），周一洋山黑角转55天，价格到8月19日已过期，紧供参考。,,,
270,81413,西,KRIBI,CAMEROON,"开瑞比,喀麦隆",M,CMA,1813,55,2713,110,2713,110,,1863,2813,2813,55/110,,周二,洋山,DIR,直达,41,8-13,8-19,ASAF 11天免用箱,,Kribi CMA USD1813/2713 + EBS55/110，周二洋山直达41天，价格到8月19日已过期，紧供参考。,,,
271,81413,西,FREETOWN,SIERRA LEONE,"弗里敦,塞拉利昂",A,MSK,1965,,3430,,3430,,,1965,3430,3430,,,周一,洋山,PORT SAIDE EAST,赛德东,44,8-13,8-19,,,Freetown MSK USD1965/3430（含EBS），周一洋山赛德东转44天，价格到8月19日已过期，紧供参考。,,,
272,81413,西,FREETOWN,SIERRA LEONE,"弗里敦,塞拉利昂",D,SAF,1905,60,3310,120,3310,120,,1905,3310,3310,60/120,,周一/五,洋山,PORT SAIDE EAST/ALGECIRAS,赛德东,50,8-13,8-19,AE7/AE6,,Freetown SAF USD1905/3310 + EBS60/120，周一/五洋山赛德东转50天，价格到8月19日已过期，紧供参考。,,,
273,81413,西,FREETOWN,SIERRA LEONE,"弗里敦,塞拉利昂",E,COSCO,2260,60,4210,120,4210,120,,2350,4610,4610,60/120,,周三,外港,LOME,洛美,46,8-10,8-19,WAX3,,Freetown COSCO USD2260/4210 + EBS60/120，周三外港洛美转46天，价格到8月19日已过期，紧供参考。,,,
274,81413,西,FREETOWN,SIERRA LEONE,"弗里敦,塞拉利昂",K,PIL,2110,,3410,,3410,,,2210,3610,3610,,,周三,外港,LOME,洛美,47,8-13,8-15,,,Freetown PIL USD2110/3410（含EBS），周三外港洛美转47天，价格到8月15日已过期，紧供参考。,,,
